Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nivell_academic,Nombre
2009,1,Ciutat Vella,1,el Raval,H,No enseñanza obligatoria,2017
2009,1,Ciutat Vella,2,el Barri Gòtic,H,No enseñanza obligatoria,760
2009,1,Ciutat Vella,3,la Barceloneta,H,No enseñanza obligatoria,873
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",H,No enseñanza obligatoria,880
2009,2,Eixample,5,el Fort Pienc,H,No enseñanza obligatoria,1080
2009,2,Eixample,6,la Sagrada Família,H,No enseñanza obligatoria,1865
2009,2,Eixample,7,la Dreta de l'Eixample,H,No enseñanza obligatoria,1162
2009,2,Eixample,8,l'Antiga Esquerra de l'Eixample,H,No enseñanza obligatoria,1101
2009,2,Eixample,9,la Nova Esquerra de l'Eixample,H,No enseñanza obligatoria,1850
2009,2,Eixample,10,Sant Antoni,H,No enseñanza obligatoria,1295
2009,3,Sants-Montjuïc,11,el Poble Sec,H,No enseñanza obligatoria,1704
2009,3,Sants-Montjuïc,12,la Marina del Prat Vermell,H,No enseñanza obligatoria,102
2009,3,Sants-Montjuïc,13,la Marina de Port,H,No enseñanza obligatoria,1686
2009,3,Sants-Montjuïc,14,la Font de la Guatlla,H,No enseñanza obligatoria,430
2009,3,Sants-Montjuïc,15,Hostafrancs,H,No enseñanza obligatoria,683
2009,3,Sants-Montjuïc,16,la Bordeta,H,No enseñanza obligatoria,899
2009,3,Sants-Montjuïc,17,Sants - Badal,H,No enseñanza obligatoria,1182
2009,3,Sants-Montjuïc,18,Sants,H,No enseñanza obligatoria,1722
2009,4,Les Corts,19,les Corts,H,No enseñanza obligatoria,1717
2009,4,Les Corts,20,la Maternitat i Sant Ramon,H,No enseñanza obligatoria,993
2009,4,Les Corts,21,Pedralbes,H,No enseñanza obligatoria,364
2009,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",H,No enseñanza obligatoria,163
2009,5,Sarrià-Sant Gervasi,23,Sarrià,H,No enseñanza obligatoria,728
2009,5,Sarrià-Sant Gervasi,24,les Tres Torres,H,No enseñanza obligatoria,466
2009,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,H,No enseñanza obligatoria,735
2009,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,H,No enseñanza obligatoria,1276
2009,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,H,No enseñanza obligatoria,895
2009,6,Gràcia,28,Vallcarca i els Penitents,H,No enseñanza obligatoria,491
2009,6,Gràcia,29,el Coll,H,No enseñanza obligatoria,323
2009,6,Gràcia,30,la Salut,H,No enseñanza obligatoria,513
2009,6,Gràcia,31,la Vila de Gràcia,H,No enseñanza obligatoria,1528
2009,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,H,No enseñanza obligatoria,1161
2009,7,Horta-Guinardó,33,el Baix Guinardó,H,No enseñanza obligatoria,1059
2009,7,Horta-Guinardó,34,Can Baró,H,No enseñanza obligatoria,462
