Nivell_academic,Sexe,Nom_Districte,Codi_Districte,Any,Nombre
Batxillerat/FPII,Dona,Ciutat Vella,1,2009,8545
Batxillerat/FPII,Dona,Ciutat Vella,1,2010,8225
Batxillerat/FPII,Dona,Ciutat Vella,1,2011,8033
Batxillerat/FPII,Dona,Ciutat Vella,1,2012,8297
Batxillerat/FPII,Dona,Ciutat Vella,1,2013,8429
Batxillerat/FPII,Dona,Ciutat Vella,1,2014,8312
Batxillerat/FPII,Dona,Ciutat Vella,1,2015,8141
Batxillerat/FPII,Dona,Ciutat Vella,1,2016,8525
Batxillerat/FPII,Dona,Ciutat Vella,1,2017,8593
Batxillerat/FPII,Dona,Ciutat Vella,1,2018,8542
Batxillerat/FPII,Dona,Ciutat Vella,1,2019,8947
Batxillerat/FPII,Dona,Ciutat Vella,1,2020,9253
Batxillerat/FPII,Dona,Eixample,2,2009,31200
Batxillerat/FPII,Dona,Eixample,2,2010,30409
Batxillerat/FPII,Dona,Eixample,2,2011,30483
Batxillerat/FPII,Dona,Eixample,2,2012,31837
Batxillerat/FPII,Dona,Eixample,2,2013,31863
Batxillerat/FPII,Dona,Eixample,2,2014,31369
Batxillerat/FPII,Dona,Eixample,2,2015,30790
Batxillerat/FPII,Dona,Eixample,2,2016,31138
Batxillerat/FPII,Dona,Eixample,2,2017,31238
Batxillerat/FPII,Dona,Eixample,2,2018,30771
Batxillerat/FPII,Dona,Eixample,2,2019,30762
Batxillerat/FPII,Dona,Eixample,2,2020,30880
Batxillerat/FPII,Dona,Gràcia,6,2009,14012
Batxillerat/FPII,Dona,Gràcia,6,2010,13530
Batxillerat/FPII,Dona,Gràcia,6,2011,13352
Batxillerat/FPII,Dona,Gràcia,6,2012,13940
Batxillerat/FPII,Dona,Gràcia,6,2013,13901
Batxillerat/FPII,Dona,Gràcia,6,2014,13776
Batxillerat/FPII,Dona,Gràcia,6,2015,13492
Batxillerat/FPII,Dona,Gràcia,6,2016,13965
Batxillerat/FPII,Dona,Gràcia,6,2017,14035
Batxillerat/FPII,Dona,Gràcia,6,2018,13905
Batxillerat/FPII,Dona,Gràcia,6,2019,13867
Batxillerat/FPII,Dona,Gràcia,6,2020,13842
Batxillerat/FPII,Dona,Horta-Guinardó,7,2009,16743
Batxillerat/FPII,Dona,Horta-Guinardó,7,2010,16499
Batxillerat/FPII,Dona,Horta-Guinardó,7,2011,16833
Batxillerat/FPII,Dona,Horta-Guinardó,7,2012,17944
Batxillerat/FPII,Dona,Horta-Guinardó,7,2013,18151
Batxillerat/FPII,Dona,Horta-Guinardó,7,2014,18139
Batxillerat/FPII,Dona,Horta-Guinardó,7,2015,18158
Batxillerat/FPII,Dona,Horta-Guinardó,7,2016,18329
Batxillerat/FPII,Dona,Horta-Guinardó,7,2017,18625
Batxillerat/FPII,Dona,Horta-Guinardó,7,2018,18773
Batxillerat/FPII,Dona,Horta-Guinardó,7,2019,19275
Batxillerat/FPII,Dona,Horta-Guinardó,7,2020,19732
Batxillerat/FPII,Dona,Les Corts,4,2009,10009
Batxillerat/FPII,Dona,Les Corts,4,2010,9768
Batxillerat/FPII,Dona,Les Corts,4,2011,9893
Batxillerat/FPII,Dona,Les Corts,4,2012,10508
Batxillerat/FPII,Dona,Les Corts,4,2013,10395
Batxillerat/FPII,Dona,Les Corts,4,2014,10252
Batxillerat/FPII,Dona,Les Corts,4,2015,10096
Batxillerat/FPII,Dona,Les Corts,4,2016,10066
Batxillerat/FPII,Dona,Les Corts,4,2017,10124
Batxillerat/FPII,Dona,Les Corts,4,2018,10045
Batxillerat/FPII,Dona,Les Corts,4,2019,9879
Batxillerat/FPII,Dona,Les Corts,4,2020,9836
Batxillerat/FPII,Dona,Nou Barris,8,2009,13148
Batxillerat/FPII,Dona,Nou Barris,8,2010,13123
Batxillerat/FPII,Dona,Nou Barris,8,2011,13592
Batxillerat/FPII,Dona,Nou Barris,8,2012,14729
Batxillerat/FPII,Dona,Nou Barris,8,2013,15109
Batxillerat/FPII,Dona,Nou Barris,8,2014,15198
Batxillerat/FPII,Dona,Nou Barris,8,2015,15359
Batxillerat/FPII,Dona,Nou Barris,8,2016,15099
Batxillerat/FPII,Dona,Nou Barris,8,2017,15597
Batxillerat/FPII,Dona,Nou Barris,8,2018,16108
Batxillerat/FPII,Dona,Nou Barris,8,2019,16744
Batxillerat/FPII,Dona,Nou Barris,8,2020,17450
Batxillerat/FPII,Dona,Sant Andreu,9,2009,14303
Batxillerat/FPII,Dona,Sant Andreu,9,2010,14145
Batxillerat/FPII,Dona,Sant Andreu,9,2011,14559
Batxillerat/FPII,Dona,Sant Andreu,9,2012,15461
Batxillerat/FPII,Dona,Sant Andreu,9,2013,15634
Batxillerat/FPII,Dona,Sant Andreu,9,2014,15648
Batxillerat/FPII,Dona,Sant Andreu,9,2015,15652
Batxillerat/FPII,Dona,Sant Andreu,9,2016,15627
Batxillerat/FPII,Dona,Sant Andreu,9,2017,15815
Batxillerat/FPII,Dona,Sant Andreu,9,2018,15904
Batxillerat/FPII,Dona,Sant Andreu,9,2019,16194
Batxillerat/FPII,Dona,Sant Andreu,9,2020,16607
Batxillerat/FPII,Dona,Sant Martí,10,2009,21094
Batxillerat/FPII,Dona,Sant Martí,10,2010,21075
Batxillerat/FPII,Dona,Sant Martí,10,2011,21554
Batxillerat/FPII,Dona,Sant Martí,10,2012,23149
