Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Superfície (ha),superficie_km2
2012,1,Ciutat Vella,1,el Raval,109.8,1.098
2012,1,Ciutat Vella,2,el Barri Gòtic,84.2,0.8420000000000001
2012,1,Ciutat Vella,3,la Barceloneta,131.4,1.314
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",111.4,1.114
2012,2,Eixample,5,el Fort Pienc,92.9,0.929
2012,2,Eixample,6,la Sagrada Família,105.1,1.051
2012,2,Eixample,7,la Dreta de l'Eixample,212.3,2.123
2012,2,Eixample,8,l'Antiga Esquerra de l'Eixample,123.4,1.234
2012,2,Eixample,9,la Nova Esquerra de l'Eixample,133.8,1.338
2012,2,Eixample,10,Sant Antoni,80.1,0.8009999999999999
2012,3,Sants-Montjuïc,11,el Poble Sec,460.5,4.605
2012,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1428.4,14.284
2012,3,Sants-Montjuïc,13,la Marina de Port,125.5,1.2550000000000001
2012,3,Sants-Montjuïc,14,la Font de la Guatlla,30.2,0.302
2012,3,Sants-Montjuïc,15,Hostafrancs,41.0,0.41000000000000003
2012,3,Sants-Montjuïc,16,la Bordeta,57.7,0.5770000000000001
2012,3,Sants-Montjuïc,17,Sants - Badal,41.1,0.41100000000000003
2012,3,Sants-Montjuïc,18,Sants,109.8,1.098
2012,4,Les Corts,19,les Corts,141.3,1.413
2012,4,Les Corts,20,la Maternitat i Sant Ramon,190.3,1.9030000000000002
2012,4,Les Corts,21,Pedralbes,270.2,2.702
2012,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1152.2,11.522
2012,5,Sarrià-Sant Gervasi,23,Sarrià,304.2,3.042
2012,5,Sarrià-Sant Gervasi,24,les Tres Torres,78.8,0.788
2012,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,223.5,2.235
2012,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,165.9,1.659
2012,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,84.6,0.846
2012,6,Gràcia,28,Vallcarca i els Penitents,120.9,1.209
2012,6,Gràcia,29,el Coll,35.8,0.358
2012,6,Gràcia,30,la Salut,64.3,0.643
2012,6,Gràcia,31,la Vila de Gràcia,132.6,1.326
2012,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,65.0,0.65
