"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell_academic","Nombre"
2021,1,"Ciutat Vella",1,"el Raval","Dones","Sense estudis",374
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Sense estudis",126
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Sense estudis",228
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Sense estudis",190
2021,2,"Eixample",5,"el Fort Pienc","Dones","Sense estudis",230
2021,2,"Eixample",6,"la Sagrada Família","Dones","Sense estudis",449
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Sense estudis",212
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Sense estudis",222
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Sense estudis",373
2021,2,"Eixample",10,"Sant Antoni","Dones","Sense estudis",387
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Sense estudis",461
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Sense estudis",29
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Sense estudis",494
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Sense estudis",133
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Sense estudis",168
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Sense estudis",252
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Sense estudis",331
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Sense estudis",477
2021,4,"Les Corts",19,"les Corts","Dones","Sense estudis",313
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Sense estudis",260
2021,4,"Les Corts",21,"Pedralbes","Dones","Sense estudis",24
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Sense estudis",29
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Sense estudis",111
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Sense estudis",30
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Sense estudis",85
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Sense estudis",112
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Sense estudis",101
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Sense estudis",145
2021,6,"Gràcia",29,"el Coll","Dones","Sense estudis",83
2021,6,"Gràcia",30,"la Salut","Dones","Sense estudis",93
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Sense estudis",436
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Sense estudis",289
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Sense estudis",352
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Sense estudis",152
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Sense estudis",381
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Sense estudis",79
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","Sense estudis",718
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","Sense estudis",215
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Sense estudis",154
2021,7,"Horta-Guinardó",40,"Montbau","Dones","Sense estudis",141
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Sense estudis",83
2021,7,"Horta-Guinardó",42,"la Clota","Dones","Sense estudis",8
2021,7,"Horta-Guinardó",43,"Horta","Dones","Sense estudis",492
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Sense estudis",430
2021,8,"Nou Barris",45,"Porta","Dones","Sense estudis",505
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","Sense estudis",379
2021,8,"Nou Barris",47,"Can Peguera","Dones","Sense estudis",59
2021,8,"Nou Barris",48,"la Guineueta","Dones","Sense estudis",321
2021,8,"Nou Barris",49,"Canyelles","Dones","Sense estudis",142
2021,8,"Nou Barris",50,"les Roquetes","Dones","Sense estudis",330
2021,8,"Nou Barris",51,"Verdun","Dones","Sense estudis",282
2021,8,"Nou Barris",52,"la Prosperitat","Dones","Sense estudis",677
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","Sense estudis",181
2021,8,"Nou Barris",54,"Torre Baró","Dones","Sense estudis",47
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Sense estudis",163
2021,8,"Nou Barris",56,"Vallbona","Dones","Sense estudis",27
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Sense estudis",151
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","Sense estudis",52
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","Sense estudis",174
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","Sense estudis",628
2021,9,"Sant Andreu",61,"la Sagrera","Dones","Sense estudis",344
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Sense estudis",223
2021,9,"Sant Andreu",63,"Navas","Dones","Sense estudis",247
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Sense estudis",415
2021,10,"Sant Martí",65,"el Clot","Dones","Sense estudis",282
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Sense estudis",163
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Sense estudis",32
2021,10,"Sant Martí",68,"el Poblenou","Dones","Sense estudis",315
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Sense estudis",114
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Sense estudis",510
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Sense estudis",280
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Sense estudis",438
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Sense estudis",597
2021,1,"Ciutat Vella",1,"el Raval","Dones","Estudis primaris / certificat d'escolaritat / EGB",4461
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Estudis primaris / certificat d'escolaritat / EGB",1095
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Estudis primaris / certificat d'escolaritat / EGB",1304
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Estudis primaris / certificat d'escolaritat / EGB",1495
2021,2,"Eixample",5,"el Fort Pienc","Dones","Estudis primaris / certificat d'escolaritat / EGB",1887
